loan_type,employment_status,monthly_income,cibil_score,existing_emis_monthly,debt_to_income_ratio,property_ownership_status,applicant_age,loan_amount_requested
3,4,13000,693,1800,0.1384999999999999,1,58,541000
2,5,12600,678,1800,0.1429,1,62,666000
3,3,62300,617,3700,0.0594,0,60,995000
4,3,49700,738,3700,0.0744,1,58,474000
2,1,81800,669,3400,0.0416,2,46,995000
1,2,65500,753,3500,0.0533999999999999,1,31,677000
2,0,31900,756,2000,0.0626999999999999,1,34,273000
1,2,75200,694,3900,0.0519,1,54,892000
2,4,53800,687,2500,0.0465,2,56,594000
1,4,49700,633,3300,0.0664,0,44,322000
2,0,10000,687,2800,0.28,1,50,708000
4,0,52100,617,6100,0.1171,0,27,994000
0,1,87900,676,2700,0.0306999999999999,0,60,470000
3,0,47500,731,0,0.0,2,51,609000
4,2,17200,707,2600,0.1512,2,28,596000
0,3,32200,731,1700,0.0528,1,58,669000
4,4,14300,735,3100,0.2168,1,32,100000
4,1,69700,768,100,0.0014,0,40,233000
2,2,62500,772,1300,0.0208,1,37,466000
1,4,53700,657,2500,0.0466,2,40,410000
1,2,16300,623,2700,0.1656,0,56,487000
3,4,57600,761,3400,0.059,2,44,461000
1,2,91100,730,5600,0.0552,0,23,392000
2,5,91100,677,4400,0.0431,0,42,235000
1,1,50200,636,0,0.0,1,46,226000
3,1,58700,695,100,0.0017,0,25,867000
0,1,50300,734,4200,0.0834999999999999,1,38,390000
1,4,61700,767,6300,0.1021,1,36,528000
1,2,16700,755,700,0.0419,0,32,697000
4,1,75800,652,1300,0.0172,2,25,276000
3,0,72300,646,5900,0.0816,1,25,506000
3,3,40000,696,600,0.015,1,23,290000
0,3,43700,719,6300,0.1465,2,63,339000
4,3,64800,635,0,0.0,2,51,754000
3,2,36100,733,2500,0.0693,0,51,715000
0,3,48200,781,700,0.0144999999999999,0,57,516000
4,5,64200,674,3500,0.0545,2,55,612000
0,4,73100,719,1900,0.026,2,59,980000
3,5,19600,677,300,0.0153,2,48,170000
3,0,38600,702,3900,0.1009999999999999,0,53,385000
0,2,46900,748,2300,0.049,0,55,630000
3,2,61300,669,4700,0.0767,1,48,783000
2,3,89100,775,3700,0.0415,1,25,534000
4,0,68000,687,4900,0.0721,1,48,308000
0,2,50900,735,5800,0.1139,2,50,878000
1,3,23600,748,900,0.0381,0,54,242000
4,4,32300,694,0,0.0,0,36,585000
0,3,69900,686,4600,0.0658,0,63,762000
0,0,27900,747,2900,0.1039,1,23,100000
1,4,79900,781,4600,0.0576,0,51,375000
3,4,23900,634,3000,0.1255,2,25,432000
3,0,59400,715,3000,0.0504999999999999,2,63,242000
2,3,47800,719,2700,0.0565,0,53,400000
2,5,33800,705,800,0.0237,2,35,995000
2,0,75600,628,1300,0.0172,1,51,133000
2,4,71600,653,2500,0.0349,0,52,552000
1,2,40900,669,2900,0.0709,1,48,135000
2,4,18000,643,900,0.05,1,59,597000
2,4,15700,659,1900,0.121,2,40,481000
3,1,16800,707,3200,0.1905,0,34,246000
2,4,12800,704,3200,0.25,1,43,253000
2,4,88300,731,3900,0.0441999999999999,1,35,853000
4,5,69000,690,6300,0.1101,0,52,100000
2,4,75900,721,2800,0.0369,2,31,995000
3,3,28900,639,4100,0.1419,2,30,530000
0,2,57600,780,4400,0.0764,2,44,100000
2,0,39700,686,600,0.0151,1,23,302000
2,0,91100,664,200,0.0018,1,63,903000
1,4,35200,705,1100,0.0312,0,63,703000
0,0,91100,781,4000,0.043,0,39,240000
3,5,47100,668,5200,0.1104,0,58,961000
0,4,77100,655,2200,0.0285,0,53,387000
3,0,71200,658,2300,0.0323,0,33,682000
1,3,29800,617,3700,0.1242,1,33,100000
0,1,50800,636,2600,0.0512,1,44,327000
3,1,44200,666,3700,0.0837,1,50,100000
0,5,13300,729,200,0.015,2,54,499000
3,2,30100,735,0,0.0,0,49,689000
4,2,53500,730,4400,0.0822,1,48,707000
2,0,54500,715,100,0.0018,2,23,342000
3,5,41400,721,2100,0.0507,0,37,900000
0,2,10000,747,2200,0.22,1,31,785000
0,0,20700,681,0,0.0,1,23,240000
3,0,24300,727,0,0.0,2,40,749000
4,1,67700,657,500,0.0074,2,42,100000
2,5,10000,758,1400,0.14,1,63,244000
4,5,19500,677,6300,0.3436,2,44,192000
1,3,29100,666,900,0.0308999999999999,1,47,456000
2,4,27300,643,3000,0.1099,2,61,143000
3,0,40500,686,2300,0.0567999999999999,2,47,880000
3,3,29600,697,2400,0.0810999999999999,0,41,402000
3,4,29600,651,3800,0.1284,2,52,655000
0,4,62000,759,3300,0.0532,2,52,100000
1,4,69500,703,4400,0.0633,0,63,306000
0,0,19800,715,400,0.0202,0,36,747000
3,3,32700,781,5100,0.156,0,59,209000
1,5,11400,764,3400,0.2982,0,31,879000
4,1,54400,707,3000,0.0550999999999999,2,43,100000
1,1,55800,738,900,0.0161,0,58,941000
4,2,66800,686,2200,0.0329,2,26,338000
1,2,65800,763,1300,0.0197999999999999,1,23,904000
0,1,12400,769,4900,0.3952,0,51,154000
0,3,80900,743,4000,0.0494,1,47,413000
0,5,89000,667,1400,0.0157,2,58,374000
0,4,67400,687,1800,0.0266999999999999,1,55,657000
1,5,28500,723,0,0.0,0,38,438000
3,1,61400,664,2200,0.0358,2,32,100000
1,3,18800,688,3500,0.1862,2,47,100000
2,1,14200,676,3000,0.2113,2,53,202000
3,3,66700,732,4300,0.0645,2,23,459000
1,0,30600,714,3300,0.1077999999999999,1,58,213000
2,4,61800,705,2700,0.0437,1,25,526000
0,4,76500,706,3800,0.0496999999999999,1,52,423000
4,5,74500,754,6300,0.1114,0,63,361000
0,4,34500,750,2100,0.0608999999999999,2,54,152000
3,1,77100,661,3400,0.0441,2,43,118000
1,2,10000,719,6100,0.61,2,23,525000
0,4,79700,699,0,0.0,0,40,492000
0,1,42700,617,3900,0.0913,1,31,100000
4,5,46100,711,900,0.0195,0,63,408000
4,5,48800,715,5400,0.1107,2,25,333000
2,0,85500,742,6300,0.0737,1,61,652000
1,2,58000,781,3000,0.0516999999999999,0,29,692000
0,1,70800,751,4700,0.0664,2,23,391000
1,4,89000,723,2400,0.027,0,31,333000
1,3,56300,630,300,0.0053,1,48,479000
